"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT22"
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-01","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-02","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-03","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-04","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-05","0.29",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-06","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-07","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-08","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-09","0.10",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-10","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-11","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-12","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-13","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-14","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-15","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-16","0.03",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-17","0.19",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-19","0.33",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-20","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-21","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-22","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-23","0.01",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-24","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-25","0.43",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-26","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-27","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-28","0.00",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-29","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-06-30","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-01","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-02","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-03","0.02",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-04","0.03",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-05","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-06","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-07","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-08","0.05",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-09","0.00",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-10","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-11","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-12","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-13","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-14","0.85",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-19","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-20","0.03",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-21","0.56",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-22","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-23","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-24","0.04",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-25","0.00",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-26","0.86",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-27","0.24",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-28","0.35",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-29","2.54",,,,,,,,,,,,,,,,,,,,
