"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT05","WT06","WT07","WT08","WT09","WT10","WT11"
"USW00023064","37.92722","-100.72472","878.4","2000-01-01","0.00",,"45","67","22",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-02","0.00",,"36","47","25",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-03","0.04",,"19","29","8",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-04","0.00",,"21","38","4",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-05","0.00",,"34","49","18",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-06","0.00",,"32","45","19",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-07","0.00",,"34","51","17",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-08","0.00",,"30","46","14",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-09","0.00",,"32","49","15",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-10","0.00",,"40","60","19",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-11","0.00",,"35","54","15",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-12","0.00",,"46","64","28",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-13","0.00",,"35","48","22",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-14","0.00",,"42","57","27",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-15","0.00",,"46","66","25",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-16","0.00",,"33","39","27",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-17","0.00",,"47","62","31",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-18","0.00",,"44","59","29",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-19","0.00",,"43","62","24",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-20","0.00",,"32","49","14",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-21","0.00",,"34","49","19",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-22","0.01",,"38","53","22",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-23","0.03",,"29","41","16",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-24","0.00",,"34","53","15",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-25","0.00",,"26","32","20",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-26","0.01",,"26","30","22",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-27","0.26",,"20","22","17",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-28","0.00",,"19","24","13",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-29","0.04",,"18","32","3",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-30","0.00",,"14","25","3",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-01-31","0.00",,"26","33","18",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-01","0.00",,"23","36","10",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-02","0.00",,"36","54","17",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-03","0.00",,"42","53","31",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-04","0.00",,"32","41","23",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-05","0.00",,"40","56","23",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-06","0.00",,"45","62","28",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-07","0.00",,"43","59","26",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-08","0.00",,"47","69","25",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-09","0.00",,"46","62","30",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-10","0.00",,"45","61","29",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-11","0.00",,"22","29","15",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-12","0.00",,"32","52","11",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-13","0.00",,"28","35","21",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-14","0.00",,"42","66","18",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-15","0.00",,"48","67","29",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-16","0.00",,"34","49","18",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-17","0.12",,"47","61","32",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-18","0.00",,"28","33","23",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-19","0.00",,"34","50","18",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-20","0.00",,"45","66","23",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-21","0.00",,"59","77","40",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-22","0.13",,"53","64","42",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-23","0.01",,"54","66","42",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-24","0.00",,"56","75","36",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-25","0.00",,"42","55","29",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-26","0.01",,"40","53","27",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-27","0.00",,"40","60","20",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-28","0.00",,"53","70","35",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-02-29","0.24",,"44","55","33",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-01","0.03",,"45","61","29",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-02","1.85",,"38","45","31",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-03","0.00",,"38","45","31",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-04","0.00",,"47","65","29",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-05","0.00",,"53","67","38",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-06","0.00",,"56","74","38",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-07","0.37",,"56","68","44",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-08","0.01",,"46","61","31",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-09","0.00",,"36","47","25",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-10","0.06",,"32","33","30",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-11","0.00",,"38","51","24",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-12","0.00",,"43","55","31",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-13","0.00",,"42","58","25",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-14","0.00",,"49","63","35",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-15","0.00",,"42","54","29",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-16","0.00",,"28","35","21",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-17","0.00",,"34","38","30",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-18","0.15",,"35","40","30",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-19","0.00",,"42","58","25",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-20","0.00",,"48","61","34",,,,,,,,,,
