"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT16","WT19"
"US1KSGH0001","39.2101","-100.0486","755.0","2006-06-16","0.84","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-06-17","1.71","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-06-22","0.07","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-06-23","0.50","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-06-24","0.82","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-06-25","0.04","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-07-09","0.54","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-07-10","0.71","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-08-07","0.90","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-08-17","2.90","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-08-19","0.10","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-08-26","0.50","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-08-28","0.12","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-09-01","0.46","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-09-02","0.06","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-09-09","0.60","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-09-10","0.38","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-09-21","0.10","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-10-09","0.77","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-10-10","0.66","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-10-11","0.37","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-10-18","0.11","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-10-27","0.99","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-11-13","0.10","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-11-15","0.19","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-12-20","1.35","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-12-21","0.40","4.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-12-29","0.40","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2006-12-30","1.30","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2007-01-01","2.66","1.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2007-01-15","0.00","1.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2007-01-21","0.65","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2007-02-13","0.20","0.3",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2007-08-01","0.30","0.0",,,,,,,,,,,,,,,
