"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN","WT01","WT03","WT04","WT05","WT06","WT11"
"USW00013980","37.155","-98.0282","414.5","2000-01-01","0.00","0.0","66","27",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-02","0.00","0.0","54","37",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-03","0.00","0.0","37","36",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-04","0.26","0.5","37","16",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-05","0.00","0.0","54","15",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-06","0.00","0.0","43","30",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-07","0.00","0.0","51","23","    1",,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-08","0.00","0.0","49","22","    1",,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-09","0.00","0.0","50","27","    1",,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-10","0.00","0.0","64","28",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-11","0.00","0.0","50","26",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-12","0.00","0.0","63","28",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-13","0.00","0.0","48","28",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-14","0.00","0.0","56","24",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-15","0.00","0.0","64","26",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-16","0.00","0.0","43","37",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-17","0.00","0.0","44","37",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-18","0.00","0.0","48","30","    1",,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-19","0.00","0.0","65","30",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-20","0.00","0.0","36","19",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-21","0.00","0.0","46","19",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-22","0.00","0.0","55","24",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-23","0.00","0.0","39","28",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-24","0.00","0.0","38","18",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-25","0.00","0.0","35","19",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-26","0.00","0.0","27","24",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-27","0.18","3.0","25","22",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-28","0.27","3.5","26","17",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-29","0.00","0.0","31","16",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-30","0.00","0.0","32","15",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-01-31","0.00","0.0","32","15","    1",,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-01","0.00","0.0","32","15",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-02","0.00","0.0","43","13",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-03","0.00","0.0","51","15",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-04","0.00","0.0","41","31",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-05","0.00","0.0","46","21",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-06","0.00","0.0","55","21",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-07","0.00","0.0","60","29",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-08","0.00","0.0","64","26",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-09","0.00","0.0","66","26",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-10","0.00","0.0","62","34",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-11","0.00","0.0","39","26",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-12","0.00","0.0","45","19",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-13","0.00","0.0","43","19","    1",,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-14","0.00","0.0","49","21",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-15","0.00","0.0","72","21",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-16","0.00","0.0","49","28",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-17","0.00","0.0","49","28","    1","    1",,"    1",,
"USW00013980","37.155","-98.0282","414.5","2000-02-18","0.45","0.0","36","34",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-19","0.00","0.0","52","29",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-20","0.00","0.0","60","28",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-21","0.00","0.0","72","28",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-22","0.00","0.0","62","43",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-23","0.91","0.0","64","51",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-24","0.00","0.0","74","43",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-25","0.73","0.0","64","43",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-26","0.00","0.0","55","39",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-27","0.00","0.0","63","30",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-28","0.00","0.0","68","31",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-02-29","0.00","0.0","69","43",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-01","0.00","0.0","63","33",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-02","0.03","0.0","44","34",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-03","1.80","0.0","48","35",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-04","0.00","0.0","63","30",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-05","0.00","0.0","66","33",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-06","0.00","0.0","75","40",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-07","0.00","0.0","71","48",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-08","0.71","0.0","73","51",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-09","0.00","0.0","48","33",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-10","0.00","0.0","43","33",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-11","0.16","4.0","50","30",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-12","0.00","0.0","57","31",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-13","0.00","0.0","61","31",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-14","0.00","0.0","67","37",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-15","0.00","0.0","68","45",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-16","1.70",,"37","31",,,"    1",,,
"USW00013980","37.155","-98.0282","414.5","2000-03-17","0.92","0.0","41","27",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-18","0.05","0.0","43","33","    1",,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-19","0.09","0.0","59","36",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-20","0.00","0.0","68","32",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-21","0.00","0.0","55","33",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-22","0.03","0.0","55","48",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-23","1.94","0.0","64","49",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-24","0.92","0.0","74","44",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-25","0.00","0.0","72","46",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-26","0.00","0.0","79","48",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-27","0.11","0.0","75","42",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-28","0.00","0.0","56","41",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-29","0.68","0.0","45","41",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-30","0.16","0.0","61","40",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-31","0.00","0.0","55","39",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-01","0.08","0.0","48","43",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-02","0.18","0.0","65","37",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-03","0.00","0.0","52","42",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-04","0.00","0.0","68","30",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-05","0.00","0.0","90","31",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-06","0.00","0.0","72","51",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-07","0.00","0.0","64","49",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-08","0.00","0.0","57","32",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-09","0.00","0.0","67","33",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-10","0.00","0.0","79","40",,,,,,
