"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT11"
"USC00140810","37.2757","-95.4728","276.5","2000-01-01",,"0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-02",,"0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-03","0.10","0.0",,"66","34",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-04","0.08","0.0",,"42","16",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-05","0.00","0.0",,"32","16",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-06","0.00","0.0",,"48","26",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-07","0.00","0.0",,"50","20",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-08","0.12","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-09","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-10","0.00","0.0",,"54","25",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-11","0.00","0.0",,"64","29",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-12","0.00","0.0",,"50","30",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-13","0.00","0.0",,"67","27",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-14","0.00","0.0",,"46","25",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-15","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-16","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-17","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-18","0.00","0.0",,"64","26",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-19","0.00","0.0",,"57","27",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-20","0.00","0.0",,"60","16",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-21","0.00","0.0",,"32","16",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-22","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-23","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-24","0.00","0.0",,"57","11",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-25","0.00","0.0",,"38","13",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-26","0.00","0.0",,"35","21",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-27","0.00","0.0",,"28","22",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-28","0.20","2.5",,"30","23",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-29","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-30","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-01-31","0.00","0.0",,"35","12",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-01","0.00","0.0",,"43","14",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-02","0.00","0.0",,"38","15",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-03","0.00","0.0",,"46","18",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-04","0.00","0.0",,"58","29",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-05","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-06","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-07","0.00","0.0",,"56","15",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-08","0.00","0.0",,"61","28",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-09","0.00","0.0",,"60","31",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-10","0.00","0.0",,"68","42",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-11","0.00","0.0",,"67","30",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-12","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-13","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-14","0.00","0.0",,"47","24",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-15","0.00","0.0",,"49","25",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-16","0.00","0.0",,"70","28",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-17","0.00","0.0",,"51","28",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-18","1.21","0.0",,"50","35",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-19","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-20","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-21","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-22","0.00","0.0",,"65","27",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-23","0.34","0.0",,"70","54",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-24","0.02","0.0",,"67","44",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-25","0.00","0.0",,"74","48",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-26","1.12",,,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-27","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-28","0.00","0.0",,"72","29",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-02-29","0.00","0.0",,"69","46",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-01","0.00","0.0",,"74","35",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-02","0.00","0.0",,"62","35",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-03","0.97","0.0",,"46","39",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-04","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-05","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-06","0.00","0.0",,"65","27",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-07","0.00","0.0",,"74","54",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-08","0.08","0.0",,"75","53",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-09","0.00","0.0",,"73","34",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-10","0.00","0.0",,"51","31",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-11","0.76",,,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-12","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-13","0.00","0.0",,"56","27",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-14","0.00","0.0",,"60","44",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-15","0.00","0.0",,"66","50",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-16","0.69","0.0",,"74","37",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-17","0.15","0.0",,"41","33",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-19","0.53",,,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-20","0.00","0.0",,"49","32",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-21","0.00","0.0",,"62","39",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-22","0.00","0.0",,"67","46",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-23","0.38","0.0",,"65","51",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-24","0.55","0.0",,"74","47",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-25",,"0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-26",,"0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-27","0.32","0.0",,"77","43",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-28","0.00","0.0",,"72","38",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-29","0.30","0.0",,"55","39",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-30","0.42","0.0",,"48","42",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-03-31","0.00","0.0",,"61","42",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-01",,"0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-02","0.31",,,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-03","0.00","0.0",,"64","43",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-04","0.00","0.0",,"56","33",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-05","0.00","0.0",,"61","36",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-06","0.00","0.0",,"85","57",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-07","0.00","0.0",,"75","53",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-08","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-09","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-10","0.00","0.0",,"73","30",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-11","0.08","0.0",,"66","46",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-12","0.00","0.0",,"64","42",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-13","0.00","0.0",,"55","22",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-14","0.00","0.0",,"67","44",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-04-16","0.19",,,,,,,,,,,,,,
