"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00148156","39.0313","-95.0522","253.0","2000-01-01","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-02","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-03","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-04","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-05","0.25","1.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-06","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-07","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-08","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-09","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-10","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-11","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-12","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-13","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-14","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-15","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-16","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-17","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-18","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-19","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-20","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-21","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-22","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-23","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-24","0.03","0.5",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-25","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-26","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-27","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-28","0.13","1.5",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-29","0.11","1.5",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-30","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-01-31","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-01","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-02","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-03","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-04","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-05","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-06","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-07","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-08","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-09","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-10","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-11","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-12","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-13","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-14","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-15","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-16","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-17","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-18","1.21","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-19","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-20","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-21","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-22","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-23","0.24","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-24","0.10","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-25","0.15","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-26","0.42","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-27","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-28","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-02-29","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-03-01","0.11","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-03-02","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-03-03","0.55","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-03-04","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-03-05","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-03-06","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-03-07","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-03-08","0.04","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-03-09","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-03-10","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-03-11","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2000-03-12","0.00","0.0",,,,,,,,
