"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN","WT01","WT03","WT04","WT05","WT06","WT11"
"US1KSMS0004","39.7083","-96.413","359.1","2018-03-19","0.36",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-04-26","0.64",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-05-02","1.52",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-05-03","1.06",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-05-04","0.09",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-05-14","0.17",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-05-15","0.07",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-05-19","0.14",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-05-30","0.75",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-06-02","1.91",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-06-19","0.32",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-06-20","0.58",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-06-21","0.28",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-06-25","0.23",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-06-26","0.28",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-07-01","2.63",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-07-14","0.58",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-07-18","0.27",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-07-19","0.08",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-07-21","0.02",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-07-26","0.05",,,,,,,,,
"US1KSMS0004","39.7083","-96.413","359.1","2018-07-29","0.22",,,,,,,,,
