"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN","WT01","WT03","WT06"
"US1KSMC0013","39.4635","-98.1047","435.6","2018-01-15","0.00",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-01-22","0.00",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-03-19","0.32",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-03-20","0.06",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-03-26","0.03",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-04-02","0.00",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-04-03","0.02",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-04-07","0.01","0.3",,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-04-15","0.05",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-04-21","0.52",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-04-22","0.26",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-04-25","0.23",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-04-29","0.04",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-05-02","1.55",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-05-03","0.44",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-05-04","0.02",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-05-10","0.05",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-05-12","0.00","0.0",,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-05-14","0.03",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-05-15","0.10",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-05-19","2.30",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-05-21","0.01",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-05-25","0.03",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-05-30","3.00",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-06-01","0.07",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-06-02","0.28",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-06-05","0.02",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-06-07","0.37",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-06-09","0.06",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-06-14","0.00",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-06-18","0.03",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-06-19","0.69",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-06-20","2.20",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-06-23","0.09",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-06-25","0.23",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-07-01","0.27",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-07-05","0.00",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-07-14","0.10",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-07-16","0.01",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-07-17","0.10",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-07-18","0.20",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-07-20","0.17",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-07-22","0.00",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-07-26","1.06",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-07-29","0.27",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-07-30","0.60",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-07-31","1.20",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-08-04","0.03",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-08-06","0.28",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-08-07","0.12",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-08-14","0.94",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-08-15","0.18",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-08-19","0.06",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-08-20","0.42",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-08-22","0.07",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-08-23","0.65",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-08-25","0.10",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-09-02","0.73",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-09-03","0.42",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-09-04","0.80",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-09-05","3.33",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-09-21","0.44",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-09-25","0.02",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-09-29","0.50",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-01","0.10",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-02","0.10",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-05","0.02",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-06","0.56",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-07","0.10",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-09","2.11",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-10","1.86",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-12","0.23",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-13","0.02",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-14","0.15",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-15","0.42",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-19","0.03",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-20","0.00","0.0",,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-21","0.00","0.0",,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-22","0.00","0.0",,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-23","0.00","0.0",,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-24","0.00","0.0",,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-25","0.50",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-26","0.15",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-10-27","0.00","0.0",,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-11-01","0.00","0.0",,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-11-02","0.00","0.0",,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-11-03","0.02",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-11-04","0.00","0.0",,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-11-05","0.22",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-11-06","0.00","0.0",,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-11-07","0.00","0.0",,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-11-08","0.00","0.0",,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-11-09","0.38",,,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-11-10","0.00","0.0",,,,,
"US1KSMC0013","39.4635","-98.1047","435.6","2018-11-12","0.00",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-01-11","0.06",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-01-15","0.03",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-01-22","0.03",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-01-23","0.00",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-02-05","0.11","2.0",,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-02-07","0.06","1.0",,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-02-11","0.06",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-02-19","0.00",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-02-22","0.08",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-02-24","0.04",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-03-19","0.15",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-03-20","0.21",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-03-26","0.30",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-04-02","0.00",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-04-07","0.00",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-04-09","0.00",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-04-11","0.00",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-04-21","0.49",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-04-22","0.27",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-04-25","0.15",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-04-26","0.04",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-04-29","0.04",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-05-02","2.50",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-05-03","0.44",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-05-07","0.00",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-05-10","0.04",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-05-19","1.54",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-05-22","0.08",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-05-25","0.02",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-05-30","0.82",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-06-01","0.06",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-06-02","0.28",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-06-07","0.32",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-06-09","0.13",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-06-18","0.00",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-06-19","1.25",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-06-20","2.66",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-06-22","0.00",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-06-23","0.05",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-06-25","0.28",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-06-26","0.35",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-07-05","0.27",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-07-07","0.00",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-07-14","0.09",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-07-18","0.25",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-07-20","0.38",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-07-22","0.00",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-07-26","0.32",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-07-29","0.22",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-07-30","0.03",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-08-04","0.00",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-08-06","0.23",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-08-07","0.14",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-08-14","1.03",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-08-15","0.04",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-08-20","0.52",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-08-22","0.07",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-08-23","0.92",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-08-25","0.10",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-09-02","0.86",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-09-03","0.40",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-09-04","0.66",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-09-05","0.89",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-09-21","0.41",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-09-25","0.00",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-09-29","0.00",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-10-05","0.03",,,,,,
"US1KSMC0001","39.48","-97.98","459.0","2018-10-06","0.64",,,,,,
