"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT11","WT13","WT16","WT17","WT18","WT19","WT22"
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-09","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-10","0.07","0.4",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-11","0.15","2.4",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-12","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-13","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-14","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-15","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-17","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-18","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-19","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-20","0.10","1.1",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-21","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-22","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-23","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-24","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-25","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-26","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-27","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-28","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-29","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-30","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-01-31","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-02-01","0.28","3.6",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-02-09","0.26","3.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-02-10","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-02-20","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-02-21","0.19",,,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-02-22","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-02-23","0.01",,,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-02-24","0.19",,,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-02-25","0.92",,,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-02-26","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-02-28","0.90",,,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-03-01","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-03-02","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-03-03","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-03-04","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-03-07","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSNO0005","37.5159","-95.1677","271.9","2011-03-08","0.78",,,,,,,,,,,,,,,,,,,,
